iter	Passed	Remaining
463	763	882
464	764	879
465	765	877
466	767	875
467	768	873
468	769	871
469	770	869
470	771	867
471	773	864
472	774	862
473	775	860
474	776	858
475	778	856
476	779	854
477	780	852
478	782	850
479	783	849
480	785	847
481	786	845
482	787	843
483	789	841
484	790	839
485	791	837
486	792	835
487	794	833
488	795	831
489	797	829
490	798	827
491	799	825
492	800	823
493	801	821
494	803	819
495	804	817
496	805	815
497	806	813
498	808	811
499	809	809
500	811	807
501	812	806
502	813	804
503	815	802
504	816	800
505	817	798
506	818	796
507	820	794
508	821	792
509	822	790
510	823	788
511	825	786
512	826	784
513	827	782
514	828	780
515	829	778
516	831	776
517	832	774
518	833	772
519	834	770
520	836	768
521	837	766
522	838	764
523	839	762
524	841	760
525	842	758
526	843	756
527	844	754
528	845	753
529	846	751
530	848	749
531	849	747
532	850	745
533	851	743
534	853	741
535	854	739
536	855	737
537	856	735
538	857	733
539	859	731
540	860	729
541	861	728
542	862	726
543	863	724
544	865	722
545	866	720
546	867	718
547	868	716
548	869	714
549	871	712
550	872	710
551	873	709
552	874	707
553	876	705
554	877	703
555	878	701
556	880	699
557	881	698
558	882	696
559	883	694
560	884	692
561	886	690
562	887	688
563	888	686
564	889	685
565	890	683
566	892	681
567	893	679
568	894	677
569	895	675
570	897	673
571	898	672
572	899	670
573	900	668
574	901	666
575	903	664
576	904	662
577	905	661
578	906	659
579	908	657
580	909	655
581	910	653
582	911	652
583	912	650
584	913	648
585	915	646
586	916	644
587	917	642
588	918	640
589	919	639
590	921	637
591	922	636
592	924	634
593	925	632
594	927	631
595	928	629
596	929	627
597	930	625
598	932	624
599	933	622
600	934	620
601	936	618
602	937	617
603	938	615
604	939	613
605	940	611
606	941	609
607	943	608
608	944	606
609	945	604
610	946	602
611	948	601
612	949	599
613	950	597
614	951	595
615	953	594
616	954	592
617	955	590
618	956	588
619	957	587
620	959	585
621	960	583
622	961	581
623	962	580
624	963	578
625	965	576
626	966	574
627	967	573
628	968	571
629	969	569
630	971	567
631	972	566
632	973	564
633	974	562
634	976	561
635	977	559
636	978	557
637	979	556
638	981	554
639	982	552
640	983	550
641	984	549
642	985	547
643	987	545
644	988	543
645	989	542
646	991	540
647	992	538
648	993	537
649	994	535
650	995	533
651	997	532
652	998	530
653	999	528
654	1000	527
655	1002	525
656	1003	523
657	1004	522
658	1006	520
659	1007	518
660	1008	517
661	1009	515
662	1010	513
663	1012	512
